"","Period","Trade","Gross_Weight_kt","NZD_Value_mil"
"261",1998-11-30,"Exports",1529.251,1985.562
"262",1998-11-30,"Imports",1280.116,2102.945
"263",1998-12-31,"Exports",1639.047,1940.156
"264",1998-12-31,"Imports",971.512,1930.34
"265",1999-01-31,"Exports",1448.707,1626.595
"266",1999-01-31,"Imports",1001.317,1690.295
"267",1999-02-28,"Exports",1767.948,1890.765
"268",1999-02-28,"Imports",1018.007,1799.474
"269",1999-03-31,"Exports",1966.029,2270.328
"270",1999-03-31,"Imports",1294.143,2093.17
"271",1999-04-30,"Exports",1832.373,2066.918
"272",1999-04-30,"Imports",1113.069,1943.174
"273",1999-05-31,"Exports",1761.826,2033.546
"274",1999-05-31,"Imports",1052.706,1896.209
"275",1999-06-30,"Exports",1679.878,1909.908
"276",1999-06-30,"Imports",1022.41,1963.541
"277",1999-07-31,"Exports",2003.8,2062.551
"278",1999-07-31,"Imports",1046.702,2167.85
"279",1999-08-31,"Exports",1801.729,1944.579
"280",1999-08-31,"Imports",1091.679,2306.738
"281",1999-09-30,"Exports",1892.424,2062
"282",1999-09-30,"Imports",1316.172,2283.999
"283",1999-10-31,"Exports",1850.018,2069.289
"284",1999-10-31,"Imports",1059.807,2319.589
"285",1999-11-30,"Exports",1676.649,2121.533
"286",1999-11-30,"Imports",1192.473,2518.759
"287",1999-12-31,"Exports",1864.523,2065.913
"288",1999-12-31,"Imports",1189.48,2381.105
"289",2000-01-31,"Exports",1467.072,1745.319
"290",2000-01-31,"Imports",908.344,1745.329
"291",2000-02-29,"Exports",1764.19,2344.123
"292",2000-02-29,"Imports",1283.786,2233.672
"293",2000-03-31,"Exports",1984.632,2532.609
"294",2000-03-31,"Imports",1175.021,2429.573
"295",2000-04-30,"Exports",1953.131,2381.693
"296",2000-04-30,"Imports",1248.732,2178.339
"297",2000-05-31,"Exports",2015.646,2569.61
"298",2000-05-31,"Imports",1094.436,2303.796
"299",2000-06-30,"Exports",2071.201,2557.299
"300",2000-06-30,"Imports",993.215,2384.299
"301",2000-07-31,"Exports",1616.739,2385.097
"302",2000-07-31,"Imports",1021.081,2468.335
"303",2000-08-31,"Exports",1889.775,2447.418
"304",2000-08-31,"Imports",1292.532,2746.351
"305",2000-09-30,"Exports",1662.216,2494.916
"306",2000-09-30,"Imports",1227.391,2756.455
"307",2000-10-31,"Exports",1994.457,2795.427
"308",2000-10-31,"Imports",1172.842,2944.03
"309",2000-11-30,"Exports",1812.322,2836.731
"310",2000-11-30,"Imports",1237.292,3003.814
"311",2000-12-31,"Exports",1761.42,2729.588
"312",2000-12-31,"Imports",1235.364,2724.908
"313",2001-01-31,"Exports",1750.773,2427.43
"314",2001-01-31,"Imports",1089.873,2246.025
"315",2001-02-28,"Exports",1934.052,2680.529
"316",2001-02-28,"Imports",1025.278,2177.919
"317",2001-03-31,"Exports",1841.656,2973.553
"318",2001-03-31,"Imports",1452.538,2705.858
"319",2001-04-30,"Exports",2018.496,2941.232
"320",2001-04-30,"Imports",1083.857,2468.966
"321",2001-05-31,"Exports",2158.786,3341.498
