great_walk,seasonality,hut_or_campsite,measure,date,count
Whanganui Journey - Great Walk,Seasonal,Tieke Campsite,Capacity,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Tieke Kainga Hut,BookedUnits,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Tieke Kainga Hut,Capacity,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Whakahoro Bunkroom,BookedUnits,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Whakahoro Bunkroom,Capacity,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Whakahoro Campsite,BookedUnits,1/10/2005,
Whanganui Journey - Great Walk,Seasonal,Whakahoro Campsite,Capacity,1/10/2005,
Abel Tasman Coast Track - Great Walk,Year-round,Akersten Bay Campsite,BookedUnits,1/11/2005,15
Abel Tasman Coast Track - Great Walk,Year-round,Akersten Bay Campsite,Capacity,1/11/2005,174
Abel Tasman Coast Track - Great Walk,Year-round,Anapai Bay Campsite,BookedUnits,1/11/2005,75
Abel Tasman Coast Track - Great Walk,Year-round,Anapai Bay Campsite,Capacity,1/11/2005,336
Abel Tasman Coast Track - Great Walk,Year-round,Anchorage Campsite,BookedUnits,1/11/2005,1084
Abel Tasman Coast Track - Great Walk,Year-round,Anchorage Campsite,Capacity,1/11/2005,3e3
Abel Tasman Coast Track - Great Walk,Year-round,Anchorage Hut,BookedUnits,1/11/2005,577
Abel Tasman Coast Track - Great Walk,Year-round,Anchorage Hut,Capacity,1/11/2005,1020
Abel Tasman Coast Track - Great Walk,Year-round,Apple Tree Bay Campsite,BookedUnits,1/11/2005,29
Abel Tasman Coast Track - Great Walk,Year-round,Apple Tree Bay Campsite,Capacity,1/11/2005,810
Abel Tasman Coast Track - Great Walk,Year-round,Awaroa Campsite,BookedUnits,1/11/2005,268
Abel Tasman Coast Track - Great Walk,Year-round,Awaroa Campsite,Capacity,1/11/2005,1080
Abel Tasman Coast Track - Great Walk,Year-round,Awaroa Hut,BookedUnits,1/11/2005,468
Abel Tasman Coast Track - Great Walk,Year-round,Awaroa Hut,Capacity,1/11/2005,780
Abel Tasman Coast Track - Great Walk,Year-round,Bark Bay Campsite,BookedUnits,1/11/2005,837
Abel Tasman Coast Track - Great Walk,Year-round,Bark Bay Campsite,Capacity,1/11/2005,2400
Abel Tasman Coast Track - Great Walk,Year-round,Bark Bay Hut,BookedUnits,1/11/2005,623
Abel Tasman Coast Track - Great Walk,Year-round,Bark Bay Hut,Capacity,1/11/2005,1020
Abel Tasman Coast Track - Great Walk,Year-round,Coquille Campsite,BookedUnits,1/11/2005,0
Abel Tasman Coast Track - Great Walk,Year-round,Coquille Campsite,Capacity,1/11/2005,360
Abel Tasman Coast Track - Great Walk,Year-round,Huffams Overflow Campsite,BookedUnits,1/11/2005,0
Abel Tasman Coast Track - Great Walk,Year-round,Huffams Overflow Campsite,Capacity,1/11/2005,300
Abel Tasman Coast Track - Great Walk,Year-round,Mosquito Bay Campsite (water access only),BookedUnits,1/11/2005,221
Abel Tasman Coast Track - Great Walk,Year-round,Mosquito Bay Campsite (water access only),Capacity,1/11/2005,1200
Abel Tasman Coast Track - Great Walk,Year-round,Mutton Cove Campsite,BookedUnits,1/11/2005,69
Abel Tasman Coast Track - Great Walk,Year-round,Mutton Cove Campsite,Capacity,1/11/2005,1160
Abel Tasman Coast Track - Great Walk,Year-round,Observation Beach Campsite,BookedUnits,1/11/2005,52
Abel Tasman Coast Track - Great Walk,Year-round,Observation Beach Campsite,Capacity,1/11/2005,348
Abel Tasman Coast Track - Great Walk,Year-round,Onetahuti Bay Campsite,BookedUnits,1/11/2005,388
Abel Tasman Coast Track - Great Walk,Year-round,Onetahuti Bay Campsite,Capacity,1/11/2005,1200
Abel Tasman Coast Track - Great Walk,Year-round,Te Pukatea Bay Campsite,BookedUnits,1/11/2005,331
Abel Tasman Coast Track - Great Walk,Year-round,Te Pukatea Bay Campsite,Capacity,1/11/2005,420
Abel Tasman Coast Track - Great Walk,Year-round,Tinline Campsite,BookedUnits,1/11/2005,21
Abel Tasman Coast Track - Great Walk,Year-round,Tinline Campsite,Capacity,1/11/2005,690
Abel Tasman Coast Track - Great Walk,Year-round,Tonga Quarry Campsite,BookedUnits,1/11/2005,133
Abel Tasman Coast Track - Great Walk,Year-round,Tonga Quarry Campsite,Capacity,1/11/2005,560
Abel Tasman Coast Track - Great Walk,Year-round,Torrent Bay Village Campsite,BookedUnits,1/11/2005,123
Abel Tasman Coast Track - Great Walk,Year-round,Torrent Bay Village Campsite,Capacity,1/11/2005,600
Abel Tasman Coast Track - Great Walk,Year-round,Totaranui Great Walk Campsite,BookedUnits,1/11/2005,144
Abel Tasman Coast Track - Great Walk,Year-round,Totaranui Great Walk Campsite,Capacity,1/11/2005,1200
Abel Tasman Coast Track - Great Walk,Year-round,Waiharakeke Bay Campsite,BookedUnits,1/11/2005,114
Abel Tasman Coast Track - Great Walk,Year-round,Waiharakeke Bay Campsite,Capacity,1/11/2005,560
Abel Tasman Coast Track - Great Walk,Year-round,Watering Cove Campsite,BookedUnits,1/11/2005,65
Abel Tasman Coast Track - Great Walk,Year-round,Watering Cove Campsite,Capacity,1/11/2005,300
Abel Tasman Coast Track - Great Walk,Year-round,Whariwharangi Bay Campsite,BookedUnits,1/11/2005,84
Abel Tasman Coast Track - Great Walk,Year-round,Whariwharangi Bay Campsite,Capacity,1/11/2005,1160
Abel Tasman Coast Track - Great Walk,Year-round,Whariwharangi Hut,BookedUnits,1/11/2005,197
Abel Tasman Coast Track - Great Walk,Year-round,Whariwharangi Hut,Capacity,1/11/2005,560
Heaphy Track - Great Walk,Year-round,Aorere Campsite,BookedUnits,1/11/2005,5
Heaphy Track - Great Walk,Year-round,Aorere Campsite,Capacity,1/11/2005,270
Heaphy Track - Great Walk,Year-round,Brown Campsite,BookedUnits,1/11/2005,9
Heaphy Track - Great Walk,Year-round,Brown Campsite,Capacity,1/11/2005,580
Heaphy Track - Great Walk,Year-round,Brown Hut,BookedUnits,1/11/2005,39
Heaphy Track - Great Walk,Year-round,Brown Hut,Capacity,1/11/2005,416
Heaphy Track - Great Walk,Year-round,Gouland Downs Campsite,BookedUnits,1/11/2005,5
